time,o,h,l,c,volume
2020-01-28T10:15:00.000000000Z,1.10214,1.10216,1.102,1.10202,49
2020-01-28T10:16:00.000000000Z,1.10204,1.10212,1.10204,1.10209,40
2020-01-28T10:17:00.000000000Z,1.1021,1.10212,1.10206,1.10212,21
2020-01-28T10:18:00.000000000Z,1.1021,1.10212,1.10206,1.10212,29
2020-01-28T10:19:00.000000000Z,1.10212,1.10212,1.10212,1.10212,7
2020-01-28T10:20:00.000000000Z,1.10214,1.10217,1.10212,1.10215,22
2020-01-28T10:21:00.000000000Z,1.10216,1.10225,1.10215,1.1022399999999999,28
2020-01-28T10:22:00.000000000Z,1.10222,1.10222,1.10214,1.10214,31
2020-01-28T10:23:00.000000000Z,1.10216,1.1022299999999998,1.10216,1.1022100000000001,18
2020-01-28T10:24:00.000000000Z,1.1022,1.10226,1.10216,1.10217,23
2020-01-28T10:25:00.000000000Z,1.10218,1.1022,1.10205,1.10214,48
2020-01-28T10:26:00.000000000Z,1.10216,1.10216,1.10208,1.1021,41
2020-01-28T10:27:00.000000000Z,1.1021,1.1022,1.1021,1.1022,46
2020-01-28T10:28:00.000000000Z,1.1022,1.10225,1.10218,1.10218,17
2020-01-28T10:29:00.000000000Z,1.1022,1.10222,1.1021,1.1021,39
2020-01-28T10:30:00.000000000Z,1.1021100000000001,1.10214,1.102,1.102,29
2020-01-28T10:31:00.000000000Z,1.102,1.102,1.10194,1.102,27
2020-01-28T10:32:00.000000000Z,1.102,1.102,1.10196,1.10196,15
2020-01-28T10:33:00.000000000Z,1.10198,1.10206,1.10198,1.10206,30
2020-01-28T10:34:00.000000000Z,1.10206,1.10206,1.10195,1.10195,25
2020-01-28T10:35:00.000000000Z,1.10196,1.1019700000000001,1.10192,1.10195,10
2020-01-28T10:36:00.000000000Z,1.10194,1.10196,1.1019,1.10196,21
2020-01-28T10:37:00.000000000Z,1.10195,1.10198,1.10194,1.10196,10
2020-01-28T10:38:00.000000000Z,1.10198,1.102,1.10192,1.10196,33
2020-01-28T10:39:00.000000000Z,1.10195,1.102,1.10192,1.10196,42
2020-01-28T10:40:00.000000000Z,1.1019700000000001,1.1019700000000001,1.10192,1.10192,10
2020-01-28T10:41:00.000000000Z,1.10194,1.10194,1.1018,1.10182,24
2020-01-28T10:42:00.000000000Z,1.1018,1.10182,1.10169,1.10169,40
2020-01-28T10:43:00.000000000Z,1.10168,1.10178,1.10166,1.10176,26
2020-01-28T10:44:00.000000000Z,1.10176,1.1018,1.10168,1.10168,22
2020-01-28T10:45:00.000000000Z,1.1017,1.10174,1.10166,1.10166,23
2020-01-28T10:46:00.000000000Z,1.10168,1.10172,1.10166,1.10172,18
2020-01-28T10:47:00.000000000Z,1.1017,1.1017,1.10166,1.10168,15
2020-01-28T10:48:00.000000000Z,1.1017,1.1017,1.1015,1.10154,56
2020-01-28T10:49:00.000000000Z,1.10155,1.10168,1.10155,1.10166,35
2020-01-28T10:50:00.000000000Z,1.10164,1.10172,1.1016,1.10172,38
2020-01-28T10:51:00.000000000Z,1.1017,1.10182,1.1017,1.10182,28
2020-01-28T10:52:00.000000000Z,1.10184,1.10189,1.10182,1.10188,33
2020-01-28T10:53:00.000000000Z,1.1018700000000001,1.10188,1.10182,1.10186,30
2020-01-28T10:54:00.000000000Z,1.10186,1.10188,1.10182,1.1018700000000001,41
2020-01-28T10:55:00.000000000Z,1.10186,1.10194,1.10182,1.10192,46
2020-01-28T10:56:00.000000000Z,1.10194,1.1019700000000001,1.10194,1.1019700000000001,4
2020-01-28T10:57:00.000000000Z,1.10196,1.10198,1.10194,1.10198,30
2020-01-28T10:58:00.000000000Z,1.10196,1.10196,1.10192,1.10192,20
2020-01-28T10:59:00.000000000Z,1.10194,1.10198,1.10192,1.1019299999999999,40
2020-01-28T11:00:00.000000000Z,1.10194,1.10196,1.10192,1.10194,15
2020-01-28T11:01:00.000000000Z,1.10195,1.10195,1.10184,1.10184,22
2020-01-28T11:02:00.000000000Z,1.10182,1.10186,1.10178,1.10184,39
2020-01-28T11:03:00.000000000Z,1.1018299999999999,1.10184,1.10176,1.10182,43
2020-01-28T11:04:00.000000000Z,1.10181,1.10182,1.10176,1.10178,57
2020-01-28T11:05:00.000000000Z,1.10176,1.10182,1.10174,1.1018,42
2020-01-28T11:06:00.000000000Z,1.10181,1.10181,1.10176,1.10178,11
2020-01-28T11:07:00.000000000Z,1.10178,1.1018,1.10178,1.10178,14
2020-01-28T11:08:00.000000000Z,1.10178,1.1019,1.10178,1.10182,34
2020-01-28T11:09:00.000000000Z,1.1018,1.10182,1.10178,1.10182,8
2020-01-28T11:10:00.000000000Z,1.10181,1.10188,1.10181,1.1018299999999999,32
2020-01-28T11:11:00.000000000Z,1.10182,1.10188,1.10182,1.10182,15
2020-01-28T11:12:00.000000000Z,1.10181,1.10181,1.10176,1.1017700000000001,21
2020-01-28T11:13:00.000000000Z,1.10176,1.10176,1.1016700000000001,1.10168,38
2020-01-28T11:14:00.000000000Z,1.1016700000000001,1.1017,1.10161,1.10166,32
2020-01-28T11:15:00.000000000Z,1.10166,1.1018,1.10166,1.10178,35
2020-01-28T11:16:00.000000000Z,1.10178,1.10178,1.1016700000000001,1.1016700000000001,22
2020-01-28T11:17:00.000000000Z,1.10166,1.10168,1.10162,1.1016299999999999,22
2020-01-28T11:18:00.000000000Z,1.10162,1.10164,1.10153,1.1015700000000002,38
2020-01-28T11:19:00.000000000Z,1.10156,1.1015700000000002,1.1015,1.10152,31
2020-01-28T11:20:00.000000000Z,1.10152,1.10159,1.1015,1.1015,28
2020-01-28T11:21:00.000000000Z,1.10152,1.10154,1.10146,1.10146,22
2020-01-28T11:22:00.000000000Z,1.10148,1.10152,1.10141,1.10142,41
2020-01-28T11:23:00.000000000Z,1.10142,1.10146,1.10141,1.10142,24
2020-01-28T11:24:00.000000000Z,1.1014,1.1014700000000002,1.10138,1.1014,39
2020-01-28T11:25:00.000000000Z,1.10138,1.1014,1.10132,1.10138,43
2020-01-28T11:26:00.000000000Z,1.1013899999999999,1.10144,1.1013600000000001,1.10142,46
2020-01-28T11:27:00.000000000Z,1.10143,1.10144,1.1014,1.10142,25
