time,o,h,l,c,volume
2020-06-05T18:24:54.849870041Z,1.12945,1.129465,1.12945,1.129465,
2020-06-05T18:25:06.240760773Z,1.12943,1.12945,1.12943,1.12943,
2020-06-05T18:25:18.004723161Z,1.12943,1.12947,1.12941,1.12947,
2020-06-05T18:25:29.880668729Z,1.12948,1.12948,1.12947,1.12947,
2020-06-05T18:25:41.571209885Z,1.12943,1.129445,1.12941,1.12941,
2020-06-05T18:25:53.225915946Z,1.12941,1.12943,1.129395,1.129395,
2020-06-05T18:26:04.820810097Z,1.129395,1.12945,1.129395,1.12945,
2020-06-05T18:26:16.593991099Z,1.12945,1.12945,1.12937,1.12937,
2020-06-05T18:26:28.637797455Z,1.12937,1.1294,1.12937,1.1294,
2020-06-05T18:26:40.462093050Z,1.12939,1.129465,1.12939,1.129465,
2020-06-05T18:26:52.572603304Z,1.129465,1.129505,1.12945,1.1295,
2020-06-05T18:27:04.547507393Z,1.1295,1.12952,1.1295,1.1295,
2020-06-05T18:27:16.293196949Z,1.129505,1.12954,1.129505,1.12954,
2020-06-05T18:27:27.789897720Z,1.12957,1.12957,1.129545,1.12956,
2020-06-05T18:27:39.722010793Z,1.12951,1.12951,1.129465,1.129465,
2020-06-05T18:27:51.695453530Z,1.12951,1.12951,1.1295,1.12951,
2020-06-05T18:28:03.388888571Z,1.12951,1.129525,1.12951,1.129525,
2020-06-05T18:28:15.141585681Z,1.129445,1.12945,1.129435,1.12945,
2020-06-05T18:28:27.209825007Z,1.129465,1.129475,1.129465,1.12947,
2020-06-05T18:28:38.767152657Z,1.129475,1.129515,1.129465,1.129465,
2020-06-05T18:28:50.267273040Z,1.129465,1.129465,1.129465,1.129465,
2020-06-05T18:29:01.782132294Z,1.129465,1.129515,1.129465,1.1295,
2020-06-05T18:29:14.480714208Z,1.12946,1.12946,1.129415,1.129415,
2020-06-05T18:29:27.165155178Z,1.129365,1.129365,1.129365,1.129365,
2020-06-05T18:29:38.544516655Z,1.12941,1.12941,1.129385,1.1294,
2020-06-05T18:29:50.964614957Z,1.12942,1.129455,1.12941,1.129455,
