time,o,h,l,c,volume,resistencia,soporte
2020-01-10T09:20:00.000000000Z,1.1095,1.1097,1.10914,1.1094600000000001,111,1.11111,1.10914
2020-01-10T09:25:00.000000000Z,1.10944,1.10952,1.1093,1.1094700000000002,70,1.11111,1.10914
2020-01-10T09:30:00.000000000Z,1.1094899999999999,1.10956,1.1093899999999999,1.10941,38,1.11111,1.10914
2020-01-10T09:35:00.000000000Z,1.10943,1.10962,1.10941,1.1095899999999999,31,1.11111,1.10914
2020-01-10T09:40:00.000000000Z,1.1095700000000002,1.1095700000000002,1.10942,1.10944,24,1.11111,1.10914
2020-01-10T09:45:00.000000000Z,1.1094700000000002,1.11,1.1094700000000002,1.1099,72,1.11111,1.10914
2020-01-10T09:50:00.000000000Z,1.10988,1.10992,1.1095,1.10962,157,1.11111,1.10914
2020-01-10T09:55:00.000000000Z,1.1096,1.10978,1.10951,1.10966,56,1.11111,1.10914
2020-01-10T10:00:00.000000000Z,1.10964,1.10966,1.10952,1.1095899999999999,27,1.11111,1.10914
2020-01-10T10:05:00.000000000Z,1.10956,1.1098,1.10956,1.1098,27,1.11111,1.10914
2020-01-10T10:10:00.000000000Z,1.1097700000000001,1.1098,1.1096700000000002,1.10974,34,1.11111,1.10914
2020-01-10T10:15:00.000000000Z,1.10971,1.10976,1.10962,1.10964,30,1.11111,1.10914
2020-01-10T10:20:00.000000000Z,1.10961,1.10986,1.10956,1.10972,55,1.11111,1.10914
2020-01-10T10:25:00.000000000Z,1.1097,1.10978,1.10961,1.10974,45,1.11111,1.10914
2020-01-10T10:30:00.000000000Z,1.10972,1.10972,1.10944,1.1095,32,1.11111,1.10914
2020-01-10T10:35:00.000000000Z,1.10948,1.10952,1.10932,1.10932,52,1.11111,1.10914
2020-01-10T10:40:00.000000000Z,1.10934,1.1094600000000001,1.1091,1.10938,67,1.11111,1.1091
2020-01-10T10:45:00.000000000Z,1.1094,1.1094600000000001,1.1092799999999998,1.10932,49,1.11111,1.1091
2020-01-10T10:50:00.000000000Z,1.10934,1.1093600000000001,1.1090200000000001,1.10934,76,1.11111,1.1090200000000001
2020-01-10T10:55:00.000000000Z,1.1093600000000001,1.10941,1.10912,1.1092600000000001,56,1.11111,1.1090200000000001
2020-01-10T11:00:00.000000000Z,1.10924,1.10924,1.10851,1.1087799999999999,110,1.11111,1.10851
2020-01-10T11:05:00.000000000Z,1.1087799999999999,1.1088799999999999,1.1086799999999999,1.1087799999999999,33,1.11111,1.10851
2020-01-10T11:10:00.000000000Z,1.10876,1.10884,1.1087200000000001,1.10881,27,1.1109799999999999,1.10851
2020-01-10T11:15:00.000000000Z,1.10879,1.1088200000000001,1.1086799999999999,1.1087799999999999,44,1.1109799999999999,1.10851
2020-01-10T11:20:00.000000000Z,1.1088,1.10914,1.10873,1.10914,44,1.11096,1.10851
2020-01-10T11:25:00.000000000Z,1.10912,1.10924,1.10909,1.10922,49,1.1109200000000001,1.10851
2020-01-10T11:30:00.000000000Z,1.10925,1.10954,1.10924,1.10951,58,1.1109200000000001,1.10851
2020-01-10T11:35:00.000000000Z,1.10948,1.10963,1.10934,1.1093899999999999,41,1.1109200000000001,1.10851
2020-01-10T11:40:00.000000000Z,1.10942,1.1095,1.1092799999999998,1.1092799999999998,29,1.1109200000000001,1.10851
2020-01-10T11:45:00.000000000Z,1.1092600000000001,1.10938,1.1091600000000001,1.1092600000000001,23,1.1109200000000001,1.10851
2020-01-10T11:50:00.000000000Z,1.1092799999999998,1.10948,1.1092799999999998,1.1094600000000001,45,1.1109200000000001,1.10851
2020-01-10T11:55:00.000000000Z,1.10944,1.1094600000000001,1.1091600000000001,1.1093,51,1.1109200000000001,1.10851
2020-01-10T12:00:00.000000000Z,1.10927,1.10934,1.1092,1.10932,25,1.1109200000000001,1.10851
2020-01-10T12:05:00.000000000Z,1.1093,1.10948,1.10925,1.10935,36,1.1109200000000001,1.10851
2020-01-10T12:10:00.000000000Z,1.10938,1.10948,1.10924,1.10944,37,1.11084,1.10851
2020-01-10T12:15:00.000000000Z,1.10942,1.1094600000000001,1.1093,1.10944,46,1.11084,1.10851
2020-01-10T12:20:00.000000000Z,1.1094600000000001,1.10953,1.10944,1.10952,20,1.11084,1.10851
2020-01-10T12:25:00.000000000Z,1.1095,1.10955,1.10948,1.10955,7,1.1105200000000002,1.10851
2020-01-10T12:30:00.000000000Z,1.10953,1.1097299999999999,1.10953,1.1096,24,1.1105,1.10851
2020-01-10T12:35:00.000000000Z,1.10962,1.10969,1.1096,1.10969,16,1.11019,1.10851
2020-01-10T12:40:00.000000000Z,1.10972,1.10972,1.10953,1.1096,26,1.11,1.10851
2020-01-10T12:45:00.000000000Z,1.10963,1.1097,1.10948,1.1095899999999999,31,1.11,1.10851
2020-01-10T12:50:00.000000000Z,1.10961,1.10972,1.10958,1.10958,18,1.11,1.10851
