date,o,h,l,c
2020-01-10 13:41:00,1.1108799999999999,1.11094,1.110795,1.1108099999999999
2020-01-10 13:42:00,1.1108099999999999,1.1108099999999999,1.1105,1.11052
2020-01-10 13:43:00,1.1106099999999999,1.110715,1.1105,1.110665
2020-01-10 13:44:00,1.1106950000000002,1.1107200000000002,1.110565,1.1107
2020-01-10 13:45:00,1.1107,1.11071,1.1105,1.11055
2020-01-10 13:46:00,1.11074,1.1109149999999999,1.11053,1.11089
2020-01-10 13:47:00,1.11093,1.11097,1.110665,1.1108
2020-01-10 13:48:00,1.110815,1.11083,1.110695,1.110765
2020-01-10 13:49:00,1.1107550000000002,1.1107550000000002,1.1105,1.1106099999999999
2020-01-10 13:50:00,1.1106099999999999,1.1106150000000001,1.110155,1.11018
2020-01-10 13:51:00,1.11019,1.1101999999999999,1.110055,1.110065
2020-01-10 13:52:00,1.1101,1.110125,1.109975,1.110125
2020-01-10 13:53:00,1.11018,1.11023,1.110045,1.1100750000000001
2020-01-10 13:54:00,1.1101299999999998,1.11018,1.110045,1.11006
2020-01-10 13:55:00,1.1101100000000002,1.11016,1.10998,1.11015
2020-01-10 13:56:00,1.110195,1.110235,1.1101,1.1101
2020-01-10 13:57:00,1.110135,1.1101649999999998,1.1100349999999999,1.1100949999999998
2020-01-10 13:58:00,1.1100949999999998,1.1100949999999998,1.10948,1.1095000000000002
2020-01-10 13:59:00,1.1095899999999999,1.1096849999999998,1.1095000000000002,1.10968
2020-01-10 14:00:00,1.10975,1.1098249999999998,1.10957,1.109775
2020-01-10 14:01:00,1.1098249999999998,1.10989,1.109625,1.109635
2020-01-10 14:02:00,1.1096599999999999,1.1096849999999998,1.1094400000000002,1.109515
2020-01-10 14:03:00,1.10953,1.109545,1.10937,1.10947
2020-01-10 14:04:00,1.109475,1.10948,1.1092,1.109345
2020-01-10 14:05:00,1.10942,1.10949,1.1092149999999998,1.10949
2020-01-10 14:06:00,1.10957,1.10964,1.10948,1.109635
2020-01-10 14:07:00,1.10967,1.10971,1.10955,1.109585
2020-01-10 14:08:00,1.1096249999999999,1.10965,1.10954,1.109545
2020-01-10 14:09:00,1.109615,1.1096849999999998,1.10945,1.1096849999999998
