time,o,h,l,c,volume
2020-06-24T09:30:00.000000000Z,1.12834,1.13046,1.1283,1.13034,3703
2020-06-24T10:00:00.000000000Z,1.13035,1.1308,1.12931,1.1297700000000002,3236
2020-06-24T10:30:00.000000000Z,1.12978,1.13085,1.12968,1.1307200000000002,2486
2020-06-24T11:00:00.000000000Z,1.1307200000000002,1.1311200000000001,1.1299,1.13006,3227
2020-06-24T11:30:00.000000000Z,1.1300700000000001,1.1302,1.12828,1.12839,3464
2020-06-24T12:00:00.000000000Z,1.1284,1.1285100000000001,1.1274899999999999,1.12822,3794
2020-06-24T12:30:00.000000000Z,1.12824,1.12824,1.12706,1.12735,3730
2020-06-24T13:00:00.000000000Z,1.1273600000000001,1.12825,1.12678,1.1269,4439
2020-06-24T13:30:00.000000000Z,1.1269200000000001,1.12764,1.12648,1.12669,4802
2020-06-24T14:00:00.000000000Z,1.1267,1.12796,1.12571,1.12758,5520
2020-06-24T14:30:00.000000000Z,1.1275700000000002,1.12781,1.12612,1.12776,7303
2020-06-24T15:00:00.000000000Z,1.1277700000000002,1.12812,1.12605,1.12696,5787
2020-06-24T15:30:00.000000000Z,1.12697,1.12748,1.12632,1.1270799999999999,4971
2020-06-24T16:00:00.000000000Z,1.12706,1.12808,1.12668,1.12737,2675
2020-06-24T16:30:00.000000000Z,1.1273799999999998,1.12798,1.1269200000000001,1.12784,2577
2020-06-24T17:00:00.000000000Z,1.1278299999999999,1.12808,1.1271200000000001,1.12716,2438
2020-06-24T17:30:00.000000000Z,1.12714,1.12724,1.12614,1.12616,2438
2020-06-24T18:00:00.000000000Z,1.12614,1.12629,1.12555,1.12594,2541
2020-06-24T18:30:00.000000000Z,1.12592,1.126,1.12552,1.12588,2146
2020-06-24T19:00:00.000000000Z,1.1259,1.12642,1.12576,1.12626,1820
2020-06-24T19:30:00.000000000Z,1.12628,1.12637,1.12511,1.12521,1892
2020-06-24T20:00:00.000000000Z,1.12522,1.12548,1.12503,1.12513,782
2020-06-24T20:30:00.000000000Z,1.12514,1.12526,1.12483,1.12507,573
2020-06-24T21:00:00.000000000Z,1.1252799999999998,1.12562,1.12516,1.12545,39
2020-06-24T21:30:00.000000000Z,1.1254899999999999,1.1257,1.1252,1.1255,158
2020-06-24T22:00:00.000000000Z,1.12554,1.12554,1.12497,1.1251799999999998,337
2020-06-24T22:30:00.000000000Z,1.1252,1.12539,1.1250799999999999,1.12525,138
2020-06-24T23:00:00.000000000Z,1.12526,1.1252799999999998,1.12484,1.1249799999999999,325
2020-06-24T23:30:00.000000000Z,1.125,1.1252,1.1249200000000001,1.1250200000000001,379
2020-06-25T00:00:00.000000000Z,1.12503,1.12535,1.12458,1.12532,1193
2020-06-25T00:30:00.000000000Z,1.12533,1.12586,1.12497,1.1256,1102
2020-06-25T01:00:00.000000000Z,1.12562,1.12598,1.12547,1.12552,1018
2020-06-25T01:30:00.000000000Z,1.12551,1.12551,1.12496,1.12501,1124
2020-06-25T02:00:00.000000000Z,1.125,1.12506,1.12432,1.1247,1177
2020-06-25T02:30:00.000000000Z,1.12468,1.12473,1.12426,1.12457,1035
2020-06-25T03:00:00.000000000Z,1.12459,1.1249799999999999,1.12449,1.12481,1038
